,col_name,0_min,0_max,1_min,1_max,2_min,2_max,3_min,3_max,4_min,4_max,5_min,5_max,6_min,6_max,7_min,7_max
67,new_cases_21_day_ago,0.0,0.3325269965129094,0.3325269965129094,0.6,0.6,0.7629951870200447,0.7629951870200447,0.8881578947368421,0.8881578947368421,1.0019676848126693,1.0019676848126693,1.1282854142978684,1.1282854142978684,1.3284700965702423,1.3284700965702423,9.79972483934449
68,new_cases_22_day_ago,0.0,0.31019776660814635,0.31019776660814635,0.5772617504930788,0.5772617504930788,0.7432689139050759,0.7432689139050759,0.8755763120804568,0.8755763120804568,0.9944714801608674,0.9944714801608674,1.1279602175945174,1.1279602175945174,1.3333333333333333,1.3333333333333333,9.885632971434594
69,new_cases_23_day_ago,0.0,0.2863810826972425,0.2863810826972425,0.5555555555555556,0.5555555555555556,0.7258064516129032,0.7258064516129032,0.8625954198473282,0.8625954198473282,0.9890029075881759,0.9890029075881759,1.1294152891833784,1.1294152891833784,1.3577619309073705,1.3577619309073705,15.000000000000016
70,new_cases_24_day_ago,0.0,0.2644142608740675,0.2644142608740675,0.5304992450994637,0.5304992450994637,0.7071273626458343,0.7071273626458343,0.8491863396745358,0.8491863396745358,0.9836065573770493,0.9836065573770493,1.1369389355755677,1.1369389355755677,1.3825037868928658,1.3825037868928658,10.313199105145413
71,new_cases_25_day_ago,0.0,0.24303002016944047,0.24303002016944047,0.5090040726325162,0.5090040726325162,0.6887662690630365,0.6887662690630365,0.8379888268156425,0.8379888268156425,0.9787344975243217,0.9787344975243217,1.1424054781092203,1.1424054781092203,1.4083344235826774,1.4083344235826774,30.000000000000032
72,new_cases_26_day_ago,0.0,0.22185225902344805,0.22185225902344805,0.48683064185413055,0.48683064185413055,0.6689521841841899,0.6689521841841899,0.8249721293199553,0.8249721293199553,0.9743361290995296,0.9743361290995296,1.1460239790144238,1.1460239790144238,1.4335720523498625,1.4335720523498625,15.000000000000016
73,new_cases_27_day_ago,0.0,0.20519225676703062,0.20519225676703062,0.467203337769282,0.467203337769282,0.6523760503575077,0.6523760503575077,0.8115195727840556,0.8115195727840556,0.9689610073879332,0.9689610073879332,1.1502926647559986,1.1502926647559986,1.4595575262192761,1.4595575262192761,20.0
74,new_cases_28_day_ago,0.0,0.18808777429467086,0.18808777429467086,0.44523388065585906,0.44523388065585906,0.633578558834244,0.633578558834244,0.801186943620178,0.801186943620178,0.9619316876241146,0.9619316876241146,1.1538461538461537,1.1538461538461537,1.4772128988967967,1.4772128988967967,17.142857142857146
75,new_cases_29_day_ago,0.0,0.17168465591188894,0.17168465591188894,0.42651192797265924,0.42651192797265924,0.6145327592581419,0.6145327592581419,0.7859740397632256,0.7859740397632256,0.9545017355953112,0.9545017355953112,1.1601058214580364,1.1601058214580364,1.5051844708358222,1.5051844708358222,17.142857142857146
76,new_cases_30_day_ago,0.0,0.15447960257525667,0.15447960257525667,0.4054054054054054,0.4054054054054054,0.5947139706835166,0.5947139706835166,0.7715133531157269,0.7715133531157269,0.9468795799432081,0.9468795799432081,1.1658156816831964,1.1658156816831964,1.531284975839045,1.531284975839045,15.000000000000016
