,col_name,0_min,0_max,1_min,1_max,2_min,2_max,3_min,3_max,4_min,4_max,5_min,5_max,6_min,6_max,7_min,7_max,8_min,8_max,9_min,9_max,10_min,10_max,11_min,11_max,12_min,12_max,13_min,13_max,14_min,14_max,15_min,15_max
38,new_death_22_day_ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1744186046511628,0.1744186046511628,0.5005213764337852,0.5005213764337852,0.6756756756756757,0.6756756756756757,0.8272947604666581,0.8272947604666581,0.9546952709073263,0.9546952709073263,1.0843373493975903,1.0843373493975903,1.2407569935869085,1.2407569935869085,1.5247260211937326,1.5247260211937326,2.401609118726088,2.401609118726088,30.000000000000032
39,new_death_23_day_ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13790906799193905,0.13790906799193905,0.4806408544726302,0.4806408544726302,0.6593406593406593,0.6593406593406593,0.8109172164290275,0.8109172164290275,0.9473684210526316,0.9473684210526316,1.0799999999999998,1.0799999999999998,1.25,1.25,1.5319148936170213,1.5319148936170213,2.4324324324324325,2.4324324324324325,30.000000000000032
40,new_death_24_day_ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1013604853952727,0.1013604853952727,0.4568527918781726,0.4568527918781726,0.6404880218731013,0.6404880218731013,0.8,0.8,0.9375,0.9375,1.0775905559479366,1.0775905559479366,1.25,1.25,1.5517241379310345,1.5517241379310345,2.4657534246575343,2.4657534246575343,30.000000000000032
41,new_death_25_day_ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057999400232409945,0.057999400232409945,0.4351535836177474,0.4351535836177474,0.6246194890499932,0.6246194890499932,0.7843137254901962,0.7843137254901962,0.9289785985345003,0.9289785985345003,1.0742705570291777,1.0742705570291777,1.2544130729607326,1.2544130729607326,1.5661460741385405,1.5661460741385405,2.5,2.5,30.000000000000032
42,new_death_26_day_ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014972046183393229,0.014972046183393229,0.416324294713777,0.416324294713777,0.6081081081081081,0.6081081081081081,0.7692307692307692,0.7692307692307692,0.9192200557103064,0.9192200557103064,1.0714285714285716,1.0714285714285716,1.257548846550226,1.257548846550226,1.5789473684210527,1.5789473684210527,2.5,2.5,30.000000000000032
43,new_death_27_day_ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3958630527817404,0.3958630527817404,0.5921052631578948,0.5921052631578948,0.7586206896551724,0.7586206896551724,0.9111491606914139,0.9111491606914139,1.0714285714285716,1.0714285714285716,1.264621249514288,1.264621249514288,1.6,1.6,2.5,2.5,30.000000000000032
44,new_death_28_day_ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37615330021291693,0.37615330021291693,0.5769230769230769,0.5769230769230769,0.7438016528925621,0.7438016528925621,0.9046100572467908,0.9046100572467908,1.0691003911342893,1.0691003911342893,1.2697631344338896,1.2697631344338896,1.6216216216216215,1.6216216216216215,2.5613361751225923,2.5613361751225923,30.000000000000032
45,new_death_29_day_ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35714285714285715,0.35714285714285715,0.5617034009791023,0.5617034009791023,0.7317073170731707,0.7317073170731707,0.8955223880597015,0.8955223880597015,1.0619469026548676,1.0619469026548676,1.2743959561263127,1.2743959561263127,1.6373456837883258,1.6373456837883258,2.608695652173913,2.608695652173913,30.000000000000032
46,new_death_30_day_ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33768572714993245,0.33768572714993245,0.5454545454545454,0.5454545454545454,0.718562874251497,0.718562874251497,0.8863720703480293,0.8863720703480293,1.0588235294117647,1.0588235294117647,1.2812845176730487,1.2812845176730487,1.6666666666666667,1.6666666666666667,2.654043079096045,2.654043079096045,30.000000000000032
47,new_cases_1_day_ago,0.0,0.0,0.0,0.13422885970531712,0.13422885970531712,0.40170301002386577,0.40170301002386577,0.574712643678161,0.574712643678161,0.7075471698113208,0.7075471698113208,0.8240940614748282,0.8240940614748282,0.9340800732977779,0.9340800732977779,1.040165017266554,1.040165017266554,1.1522057421321943,1.1522057421321943,1.2816583837576778,1.2816583837576778,1.4374184909123249,1.4374184909123249,1.6278963744742931,1.6278963744742931,1.9067007195446672,1.9067007195446672,2.349483895467256,2.349483895467256,3.381151200864811,3.381151200864811,30.000000000000032
48,new_cases_2_day_ago,0.0,0.0,0.0,0.13596199349304938,0.13596199349304938,0.4087588437365248,0.4087588437365248,0.5836575875486382,0.5836575875486382,0.7153350716658109,0.7153350716658109,0.828058807474321,0.828058807474321,0.9336512838829784,0.9336512838829784,1.0364898141929708,1.0364898141929708,1.1415813364652085,1.1415813364652085,1.2616822429906542,1.2616822429906542,1.4079496607717463,1.4079496607717463,1.5831739961759081,1.5831739961759081,1.844621221858747,1.844621221858747,2.2533743611070998,2.2533743611070998,3.1817161437784005,3.1817161437784005,30.000000000000032
49,new_cases_3_day_ago,0.0,0.0,0.0,0.13608528710939913,0.13608528710939913,0.4132231404958678,0.4132231404958678,0.5900880632512695,0.5900880632512695,0.7195663996528703,0.7195663996528703,0.8321846560142878,0.8321846560142878,0.9333748055987559,0.9333748055987559,1.0306890561667632,1.0306890561667632,1.1310282431823138,1.1310282431823138,1.2443533295608757,1.2443533295608757,1.3793433524457446,1.3793433524457446,1.5442622950819669,1.5442622950819669,1.7813952319942246,1.7813952319942246,2.1575042115745546,2.1575042115745546,2.990246107253733,2.990246107253733,30.000000000000032
50,new_cases_4_day_ago,0.0,0.0,0.0,0.136986301369863,0.136986301369863,0.4195804195804196,0.4195804195804196,0.5949008498583569,0.5949008498583569,0.7246376811594203,0.7246376811594203,0.8348543596929702,0.8348543596929702,0.9320706690126919,0.9320706690126919,1.0250569476082005,1.0250569476082005,1.120657839939609,1.120657839939609,1.2260720028489733,1.2260720028489733,1.3495160944659572,1.3495160944659572,1.5027829313543601,1.5027829313543601,1.718876740674741,1.718876740674741,2.0604906845122937,2.0604906845122937,2.7821721068329275,2.7821721068329275,30.000000000000032
51,new_cases_5_day_ago,0.0,0.0,0.0,0.1379839221493548,0.1379839221493548,0.4284402867634202,0.4284402867634202,0.6018490543235241,0.6018490543235241,0.7306443979145636,0.7306443979145636,0.8376913938038655,0.8376913938038655,0.9301302924015586,0.9301302924015586,1.0180301200364794,1.0180301200364794,1.107377555736397,1.107377555736397,1.2043123442403358,1.2043123442403358,1.3191689215834321,1.3191689215834321,1.461661341853035,1.461661341853035,1.6589393624340754,1.6589393624340754,1.9617607033474744,1.9617607033474744,2.5992869398923277,2.5992869398923277,30.000000000000032
